,region,life_expectancy,gnp_old
228,Caribbean,75.4,573.0
229,Caribbean,78.1,
230,Southeast Asia,69.3,22834.0
231,Melanesia,60.6,246.0
232,Polynesia,,
233,Polynesia,69.2,157.0
234,Middle East,59.8,5729.0
235,Southern Europe,72.4,
236,Southern Africa,51.1,129092.0
237,Eastern Africa,37.2,3922.0
238,Eastern Africa,37.8,8670.0
